Date,Plant_ID,Production_Volume,Defect_Rate,CO2_Emissions_kg,Delivery_OnTime_%,Customer_NPS,Inventory_Level
2023-01-01,PLT001,3490,0.88,4692,87.64,41,14203
2023-01-02,PLT001,1963,2.65,1587,86.17,31,13440
2023-01-03,PLT001,1128,1.11,2740,92.37,67,11675
2023-01-04,PLT001,3495,1.87,2072,90.11,66,15928
2023-01-05,PLT001,1819,0.54,2313,86.47,19,18375
2023-01-06,PLT001,2146,2.28,1678,84.1,34,17457
2023-01-07,PLT001,905,2.43,3225,95.49,71,14605
2023-01-08,PLT001,1367,1.51,1662,95.99,72,11777
2023-01-09,PLT001,2655,3.35,4140,84.28,85,8343
2023-01-10,PLT001,974,3.1,2505,85.23,12,12203
2023-01-11,PLT001,903,2.57,3848,84.78,92,14202
2023-01-12,PLT001,2770,2.58,3921,97.69,56,7607
2023-01-13,PLT001,1545,1.11,4255,95.48,64,12928
2023-01-14,PLT001,1017,2.4,5798,81.49,35,4509
2023-01-15,PLT001,2529,0.93,5642,96.65,22,13460
2023-01-16,PLT001,3451,0.76,5241,80.74,16,10094
2023-01-17,PLT001,2921,3.5,2717,85.06,43,16458
2023-01-18,PLT001,1846,2.29,3974,98.38,31,19391
2023-01-19,PLT001,2364,1.68,2429,97.29,93,9745
2023-01-20,PLT001,1093,1.22,1816,95.63,32,8816
2023-01-21,PLT001,1746,2.23,3002,89.15,57,7042
2023-01-22,PLT001,2315,0.46,1920,86.43,23,8910
2023-01-23,PLT001,2358,0.6,5858,97.63,61,10572
2023-01-24,PLT001,3120,0.41,2949,93.14,92,5058
2023-01-25,PLT001,2568,1.9,1927,85.91,48,8300
2023-01-26,PLT001,3273,2.22,1896,89.26,50,13081
2023-01-27,PLT001,2333,0.5,2295,97.63,45,9503
2023-01-28,PLT001,2041,2.61,1606,98.07,15,6952
2023-01-29,PLT001,2710,1.04,5549,93.19,32,15529
2023-01-30,PLT001,1623,2.49,1597,94.65,19,9696
2023-01-31,PLT001,1124,3.44,3403,80.79,94,11610
2023-02-01,PLT001,1431,2.51,5070,92.09,69,15873
2023-02-02,PLT001,1012,3.13,4801,93.78,39,6744
2023-02-03,PLT001,3087,3.33,1542,80.41,79,17037
2023-02-04,PLT001,1458,1.86,3077,96.88,14,13700
2023-02-05,PLT001,2948,2.55,5690,98.57,88,19320
2023-02-06,PLT001,3037,3.03,5783,84.76,66,11637
2023-02-07,PLT001,1553,1.44,1884,96.92,52,15529
2023-02-08,PLT001,1219,1.14,4971,93.31,61,7033
2023-02-09,PLT001,2473,3.33,5077,91.61,86,10034
2023-02-10,PLT001,2728,2.62,4738,96.86,15,13959
2023-02-11,PLT001,2817,1.0,3196,85.71,11,13324
2023-02-12,PLT001,1038,1.74,3634,95.82,26,19848
2023-02-13,PLT001,2926,2.85,5392,86.29,21,5201
2023-02-14,PLT001,3206,2.05,4036,95.75,53,4248
2023-02-15,PLT001,1801,2.38,5821,89.02,63,12003
2023-02-16,PLT001,1589,2.71,3892,82.34,87,14087
2023-02-17,PLT001,2939,2.29,5315,87.63,16,17316
2023-02-18,PLT001,909,2.03,1795,84.67,41,9276
2023-02-19,PLT001,1160,2.7,1913,82.01,38,12421
2023-02-20,PLT001,2842,2.63,3495,82.21,55,6675
2023-02-21,PLT001,2573,2.32,1503,95.6,82,13476
2023-02-22,PLT001,3119,1.45,1677,97.63,87,6875
2023-02-23,PLT001,2960,1.6,2245,98.54,62,12512
2023-02-24,PLT001,2091,3.41,5854,97.08,90,11294
2023-02-25,PLT001,2519,0.66,2151,96.6,34,4027
2023-02-26,PLT001,1220,1.16,5389,81.38,62,15090
2023-02-27,PLT001,2242,1.88,4771,95.8,38,4509
2023-02-28,PLT001,2536,2.98,3982,95.67,91,18563
2023-03-01,PLT001,3276,0.82,1789,82.63,92,4640
2023-03-02,PLT001,2894,1.19,2302,93.24,90,16828
2023-03-03,PLT001,2843,0.51,4030,89.05,15,7250
2023-03-04,PLT001,2938,2.56,1733,98.0,85,7747
2023-03-05,PLT001,2018,1.06,1907,93.91,47,6719
2023-03-06,PLT001,2504,1.54,2193,99.02,12,7903
2023-03-07,PLT001,3265,1.72,2669,82.1,44,9005
2023-03-08,PLT001,1135,3.15,3977,80.81,64,13503
2023-03-09,PLT001,2869,1.62,1931,99.47,56,17805
2023-03-10,PLT001,1233,0.76,4044,81.6,42,7336
2023-03-11,PLT001,2808,1.98,2482,87.72,12,13682
2023-03-12,PLT001,1275,3.38,4660,93.0,78,5418
2023-03-13,PLT001,2060,2.24,4544,97.6,68,11599
2023-03-14,PLT001,2470,3.45,5424,85.09,87,13650
2023-03-15,PLT001,3460,2.99,4812,80.58,27,7459
2023-03-16,PLT001,2219,0.42,5818,90.43,86,8904
2023-03-17,PLT001,2755,2.41,3188,89.42,75,17848
2023-03-18,PLT001,2272,1.22,1967,86.14,34,11312
2023-03-19,PLT001,1772,2.09,4116,97.48,29,11342
2023-03-20,PLT001,2152,1.19,2845,94.99,80,14759
2023-03-21,PLT001,3217,1.42,3922,97.16,84,13529
2023-03-22,PLT001,2751,3.25,2511,83.24,78,15884
2023-03-23,PLT001,2214,0.96,3177,93.85,38,9248
2023-03-24,PLT001,1624,3.1,5197,99.5,27,16801
2023-03-25,PLT001,2952,0.4,5566,92.24,81,7081
2023-03-26,PLT001,977,0.59,3392,83.43,36,4346
2023-03-27,PLT001,1031,3.03,4369,99.92,51,4116
2023-03-28,PLT001,1500,2.32,5850,90.57,75,14650
2023-03-29,PLT001,2672,2.69,2986,96.8,35,13612
2023-03-30,PLT001,1965,0.97,4839,82.99,32,14046
2023-03-31,PLT001,3036,2.02,2916,93.32,14,7082
2023-04-01,PLT001,3349,2.66,4346,98.25,89,17709
2023-04-02,PLT001,3243,2.31,2857,90.64,20,5631
2023-04-03,PLT001,2763,1.81,5560,85.77,28,5999
2023-04-04,PLT001,2218,3.37,2891,82.55,89,12059
2023-04-05,PLT001,1515,2.46,3078,85.92,21,19452
2023-04-06,PLT001,3369,3.2,5249,87.1,11,11269
2023-04-07,PLT001,2788,2.64,5125,94.2,52,14337
2023-04-08,PLT001,1946,2.65,4003,83.57,31,16569
2023-04-09,PLT001,1474,0.56,4637,82.12,35,12132
2023-04-10,PLT001,3090,1.45,4409,87.74,42,10098
2023-04-11,PLT001,1892,3.05,4164,89.17,33,12998
2023-04-12,PLT001,3092,1.04,1899,92.57,78,11003
2023-04-13,PLT001,2148,0.67,5882,94.15,30,5691
2023-04-14,PLT001,1402,1.34,5457,97.79,55,6704
2023-04-15,PLT001,2897,1.01,3733,85.78,27,9540
2023-04-16,PLT001,1720,3.26,3039,90.57,14,7435
2023-04-17,PLT001,3051,3.08,1736,87.32,17,12402
2023-04-18,PLT001,2870,1.9,2427,80.03,94,13882
2023-04-19,PLT001,1097,0.5,1919,91.59,66,5777
2023-04-20,PLT001,2569,2.59,5624,96.32,14,18843
2023-04-21,PLT001,3338,2.29,3895,80.73,22,7147
2023-04-22,PLT001,2102,3.41,2160,80.07,92,17634
2023-04-23,PLT001,2371,2.09,4123,94.56,75,12057
2023-04-24,PLT001,2546,1.38,5450,93.68,46,6499
2023-04-25,PLT001,2592,1.96,1949,88.12,38,4686
2023-04-26,PLT001,2212,3.43,1879,93.23,78,14862
2023-04-27,PLT001,2935,2.53,2750,99.07,41,9066
2023-04-28,PLT001,1377,2.45,3959,84.96,57,13121
2023-04-29,PLT001,2154,1.07,4498,84.92,11,16305
2023-04-30,PLT001,1822,2.68,5951,83.72,78,13506
2023-05-01,PLT001,1319,2.7,3801,94.48,60,6833
2023-05-02,PLT001,3104,1.32,2226,87.06,44,13965
2023-05-03,PLT001,3497,1.85,2967,99.77,92,6245
2023-05-04,PLT001,2020,1.24,4228,94.29,24,5185
2023-05-05,PLT001,1850,1.13,4652,87.35,81,6464
2023-05-06,PLT001,3236,0.38,5020,82.98,74,12575
2023-05-07,PLT001,2177,1.21,4854,91.84,47,18535
2023-05-08,PLT001,3143,2.07,1915,85.9,26,18057
2023-05-09,PLT001,2757,0.31,2099,98.11,89,17182
2023-05-10,PLT001,1416,1.21,4574,88.83,54,16115
2023-05-11,PLT001,2558,3.12,5674,85.85,10,5521
2023-05-12,PLT001,2765,2.2,3067,91.77,12,4979
2023-05-13,PLT001,2041,2.25,2594,82.74,79,19402
2023-05-14,PLT001,2832,1.59,4443,91.23,61,8177
2023-05-15,PLT001,1714,2.46,5653,81.12,62,7610
2023-05-16,PLT001,3175,0.91,2947,92.14,12,11471
2023-05-17,PLT001,2800,2.92,2992,90.6,56,9700
2023-05-18,PLT001,3163,0.67,4171,90.42,84,15462
2023-05-19,PLT001,2962,2.4,2958,93.68,15,11573
2023-05-20,PLT001,2994,1.39,2708,80.89,55,5953
2023-05-21,PLT001,3271,2.69,3712,89.19,70,9546
2023-05-22,PLT001,1029,2.06,2854,88.88,52,13676
2023-05-23,PLT001,994,1.75,1712,89.2,65,4883
2023-05-24,PLT001,2855,0.84,5394,99.6,79,14719
2023-05-25,PLT001,1693,2.34,4463,82.79,29,8823
2023-05-26,PLT001,2734,3.42,4348,93.81,56,4123
2023-05-27,PLT001,3016,2.94,4542,88.04,63,18863
2023-05-28,PLT001,2583,0.49,4534,90.23,50,17949
2023-05-29,PLT001,910,1.5,3232,95.25,84,4525
2023-05-30,PLT001,2765,3.26,4581,83.15,75,6086
2023-05-31,PLT001,3497,1.91,2770,95.27,40,19558
2023-06-01,PLT001,1611,2.42,3029,81.41,73,14347
2023-06-02,PLT001,2970,3.22,2581,89.67,67,10411
2023-06-03,PLT001,1714,3.1,5031,94.84,64,10099
2023-06-04,PLT001,1245,1.91,2651,83.85,55,13568
2023-06-05,PLT001,3249,1.7,3222,95.42,33,8406
2023-06-06,PLT001,1262,1.39,2216,83.34,86,15653
2023-06-07,PLT001,3343,2.6,5699,95.98,46,8135
2023-06-08,PLT001,3165,1.22,3690,89.38,50,12026
2023-06-09,PLT001,3088,1.1,1704,93.69,34,8876
2023-06-10,PLT001,1884,1.44,5329,98.35,38,12772
2023-06-11,PLT001,2539,0.87,4609,88.17,40,18487
2023-06-12,PLT001,1727,2.52,5594,84.66,11,5993
2023-06-13,PLT001,1255,2.27,2832,97.34,21,18522
2023-06-14,PLT001,2247,1.85,3548,83.23,14,8525
2023-06-15,PLT001,2763,1.55,3349,92.63,70,18327
2023-06-16,PLT001,1026,3.21,2737,98.47,65,16127
2023-06-17,PLT001,1503,0.39,3518,93.49,87,12648
2023-06-18,PLT001,2828,2.76,2017,83.91,80,14992
2023-06-19,PLT001,1913,3.19,2938,83.05,46,17538
2023-06-20,PLT001,950,1.73,5586,85.05,45,13643
2023-06-21,PLT001,2330,2.06,3552,87.83,83,4203
2023-06-22,PLT001,2692,3.32,5868,83.18,38,15018
2023-06-23,PLT001,2536,0.98,3812,95.96,89,8213
2023-06-24,PLT001,2545,1.96,3759,87.14,47,14044
2023-06-25,PLT001,3367,1.82,4649,98.72,94,9923
2023-06-26,PLT001,2105,1.13,2281,96.85,50,15657
2023-06-27,PLT001,2754,2.92,4213,98.18,42,16237
2023-06-28,PLT001,1466,3.18,2744,85.89,90,10365
